index,chatroom,dt,date,time,character,text
1,팀단톡,0.00,,,시스템,2021년 11월 09일 화요일
2,팀단톡,0.00,2021.11.09,18:13,팀장님,unCheck_num = 0<br>프롤로그 콘티 올려드릴게요~
3,팀단톡,0.00,,18:13,팀장님,unCheck_num = 0<br>+튜토리얼 콘티 vo3.1.2.docs
4,팀단톡,0.00,,18:14,아트님,unCheck_num = 0<br>팀장님 저 버전 정보는 무슨 의미인가요?
5,팀단톡,0.00,,18:14,팀장님,unCheck_num = 0<br>그냥 진짜 버전 정보에요.
6,팀단톡,0.00,,18:15,아트님,"unCheck_num = 0<br>아, 알겠습니다."
7,팀단톡,0.00,,18:16,김산호,"unCheck_num = 0<br>
ㅇㅋ~"
8,팀단톡,0.00,,,시스템,2021년 11월 10일 수요일
9,팀단톡,0.00,2021.11.10,13:20,팀장님,unCheck_num = 0<br>+튜토리얼 콘티 vol3.1.2.docs
10,팀단톡,0.00,,13:20,팀장님,unCheck_num = 0<br>파일 제목에 오타가 있어서 수정했습니다~
,팀단톡,,,,게임시작,
12,팀단톡,1.00,,13:51,아트님,"unCheck_num = 3<br>
팀장님…"
13,팀단톡,1.00,,13:52,아트님,unCheck_num = 3<br>팀장님…
14,팀단톡,,,,입장,1
15,팀단톡,2.00,,13:52,아트님,unCheck_num = 2<br>image_07
16,팀단톡,2.00,,13:53,아트님,unCheck_num = 2<br>이거 전단지 안 된다고 저번에 논의된 걸로 기억하는데 아닌가요?
17,팀단톡,2.00,,,입장,2
,팀단톡,,,,퇴장,2
18,팀단톡,4.00,,16:03,팀장님,unCheck_num = 2<br>이따 밤에 회의 때 말씀하시죠.
19,팀단톡,4.00,,,시스템,2021년 11월 12일 목요일
20,팀단톡,2.00,2021.11.12,2:38,팀장님,unCheck_num = 2<br>아 그런데 우리 전단지 얘기 안 했다.
21,팀단톡,1.00,,2:39,팀장님,"unCheck_num = 2<br>아트님, 지금 괜찮으실까요?"
22,팀단톡,1.00,,,독백,하… 아까 얘기 꺼내는데 계속 밀다가 안 한 거잖아…(t1)
23,팀단톡,2.00,,2:41,아트님,unCheck_num = 2<br>네… 칭찬코드 음성채널에서 얘기할까요?
24,팀단톡,,,,입장,1
25,팀단톡,1.00,,2:42,김선효,unCheck_num = 1<br>응? 회의 안 끝났어?
26,팀단톡,1.00,,2:43,김선효,unCheck_num = 1<br>나도 필요해?
27,팀단톡,1.00,,2:43,팀장님,unCheck_num = 1<br>ㄴㄴ
28,팀단톡,1.00,,2:43,김선효,unCheck_num = 1<br>어키~ 나 어차피 잘거임~ 수고~
,팀단톡,,,,퇴장,1
,팀단톡,1.00,,,선택지,"팀장님, 그래서 음성채팅으로 진행하실 건가요?"
,팀단톡,,,,선택지,지금 시간도 늦었는데 빨리 정하는게 좋을 거 같아요.
29,팀단톡,1.00,,2:44,아트님,"unCheck_num = 2<br>팀장님, 그래서 음성채팅으로 진행하실 건가요?"
30,팀단톡,1.00,,2:44,아트님,unCheck_num = 2<br>시간도 많이 늦었고 빨리 끝내는게 좋을 것 같아서요.
31,팀단톡,2.00,,2:44,팀장님,unCheck_num = 2<br>그러면 그냥 다음에 할까요?
32,팀단톡,1.00,,2:44,아트님,unCheck_num = 2<br>지금 시간도 늦었는데 빨리 정하는게 좋을 거 같아요.
33,팀단톡,1.00,,02::44,아트님,unCheck_num = 2<br>어떻게 하실래요?
34,팀단톡,2.00,,2:44,팀장님,unCheck_num = 2<br>아 그러면 그냥 오늘 안 할래요.
35,팀단톡,2.00,,2:45,아트님,unCheck_num = 2<br>이거 마무리 안 되면 다음 작업 진행 못하는 거 아닌가요?
36,팀단톡,1.00,,,독백,빨리 좀 대답해주라.. 새벽 3시가 다 돼가는데… (t1)
37,팀단톡,3.00,,2:46,팀장님,unCheck_num = 2<br>그렇긴 하죠.
38,팀단톡,1.00,,,독백,아니… 그러면 오늘 얘기해야 하는 거잖아.. (t1)
39,팀단톡,2.00,,2:46,팀장님,unCheck_num = 2<br>근데 제가 지금 마이크 쓰기가 좀 그래서 그냥 톡으로 하시죠.
40,팀단톡,1.00,,,독백,하… 그러면 한참 걸릴텐데(t1)
41,팀단톡,1.00,,2:47,아트님,"unCheck_num = 2<br>네, 그렇게 해요."
42,팀단톡,2.00,,2:47,아트님,unCheck_num = 2<br>image_07
43,팀단톡,1.00,,2:48,아트님,unCheck_num = 2<br>이거 저번에도 말씀드렸지만 얼굴을 전단지가 전부 감싸는게 말이 안되는 거 같아서요.
44,팀단톡,1.00,,2:48,아트님,unCheck_num = 2<br>저희 캐릭터가 1.5등신이라서 전단지 크기가 어마어마하게 커져요.
45,팀단톡,2.00,,2:48,팀장님,unCheck_num = 2<br>A3용지 전단지인거죠.
46,팀단톡,1.00,,,독백,하… 저번에 했던 얘기의 반복이네… (t1)
,팀단톡,1.00,,,선택지,그러니까 그 부분이…
,팀단톡,,,,선택지,회의한 거 기록하시지 않으세요?
47,팀단톡,1.00,,2:49,아트님,unCheck_num = 2<br>그러니까 그 부분이 저희 게임 등신을 고려하면 설명이 힘들어서 말씀드렸던 거에요ㅠㅠ
48,팀단톡,2.00,,2:50,아트님,unCheck_num = 2<br>게임 캐릭터가 1.5등신이라고 해서 컵이 입 크기 만큼 큰게 아니잖아요?
49,팀단톡,1.00,,2:51,팀장님,unCheck_num = 2<br>그건 그렇죠.
50,팀단톡,1.00,,2:51,아트님,unCheck_num = 2<br>그리고 이 얘기 저번에도 했어고요.
51,팀단톡,2.00,,2:52,팀장님,unCheck_num = 2<br>그러면 안 되는 걸로 진행해주세요!
52,팀단톡,2.00,,2:52,아트님,unCheck_num = 2<br>네.. 그러니까 콘티 수정을 해주셔야 해요.
53,팀단톡,1.00,,2:49,아트님,unCheck_num = 2<br>회의한 거 기록하시지 않으세요? 혹시 나중에 그거 나중에 읽어보시나요?
54,팀단톡,1.00,,2:50,팀장님,unCheck_num = 2<br>읽는데요.
55,팀단톡,1.00,,2:50,아트님,unCheck_num = 2<br>그럼 저번 회의 때 이거 말씀드렸던 것 같은데…
56,팀단톡,2.00,,2:50,아트님,unCheck_num = 2<br>캐릭터가 1.5등신이라고 사물을 캐릭터 얼굴 크기에 맞추면 안 된다고…
57,팀단톡,1.00,,2:51,팀장님,"unCheck_num = 2<br>네, 기억하는데요."
58,팀단톡,2.00,,2:52,아트님,unCheck_num = 2<br>그러면 콘티 수정을 해오셨어야죠…
59,팀단톡,1.00,,,독백,하…했던 얘기 또하고 또하고… (t1)
60,팀단톡,1.00,,,독백,아무리 기획량이 많다지만…(t1)
61,팀단톡,1.00,,,독백,이게 도대체 몇번째지… (t1)
