index,chatroom,dt,date,time,character,text
1,팀단톡,0.00,2021.03.11,,시스템,2021년 3월 11일 목요일
2,팀단톡,,,15:34,팀장님,"unCheck_num = 0<br>아트님, 컨셉 기획서입니다~ 확인해주세요~"
3,팀단톡,0.00,,15:35,팀장님,unCheck_num = 0<br>+컨셉 기획서 vo1.1.docs
4,팀단톡,0.00,,15:45,아트님,"unCheck_num = 0<br>네, 바로 확인할게요!"
5,팀단톡,0.00,,15:46,팀장님,unCheck_num = 0<br>필요한 거 있으시면 말씀해주세요.
,팀단톡,,,,게임시작,
6,팀단톡,1.00,,18:50,아트님,"unCheck_num = 3<br>팀장님, 메인 컬러에 '차갑고 세련되었는데 단단한 느낌'이 어떤 색을 원하시는건가요?"
7,팀단톡,1.00,,,입장,1
8,팀단톡,2.00,,18:54,팀장님,unCheck_num = 2<br>그러니까 SF 같은데서 흔히 보이는 색깔 있잖아요. 살짝 초록색인데 파란색이면서 보라색이에요.
9,팀단톡,1.00,,,독백,… (1t)
,팀단톡,0.50,,,선택지,이런 식으로 적어주시면 제가 무슨 색인지 몰라서ㅠㅠ
,팀단톡,,,,선택지,아니… 아니… 일단 알겠습니다…
10,팀단톡,1.00,,18:58,아트님,unCheck_num = 2<br>이런 식으로 적어주시면 제가 무슨 색인지 몰라서..
11,팀단톡,1.00,,18:58,아트님,unCheck_num = 2<br>혹시 예시자료를 주실 수 있으실까요? ㅠㅠ
12,팀단톡,1.00,,18:59,팀장님,"unCheck_num = 2<br>네, 알겠습니다!"
13,팀단톡,1.00,,18:58,아트님,unCheck_num = 2<br>아니… 아니… 일단 알겠습니다.
14,팀단톡,2.00,,19:00,팀장님,"unCheck_num = 2<br>아, 그런 색 있잖아요. 그 왜 막 SF에서 막 홀로그램처럼 나올 때 자주 쓰이는 그런 색이요. 좀 초록 파랑이고 어떨 때는 보라색도 쓰이는 그런 색입니다."
15,팀단톡,3.00,,,독백,"unCheck_num = 2<br>아니 그니까 그게 초록색이야, 파란색이야, 보라색이야..(2t)"
16,팀단톡,1.00,,19:02,아트님,unCheck_num = 2<br>혹시 예시자료를 보여주실 수 있을까요?
17,팀단톡,1.00,,19:03,팀장님,"unCheck_num = 2<br>네, 알겠습니다!"
18,팀단톡,5.00,,,입장,2
,팀단톡,,,,퇴장,2
19,팀단톡,0.50,2021.03.12,,시스템,2021년 3월 12일 금요일
20,팀단톡,1.00,,,독백,도대체 예제를 언제 주는 거지. 이걸 받아야 작업을 시작하는데..(2t)
21,팀단톡,2.00,,23:43,팀장님,unCheck_num = 2<br>image_01
22,팀단톡,1.00,,23:43,팀장님,unCheck_num = 2<br>이런 느낌입니다!
23,팀단톡,1.00,,,독백,생각보다 나쁘지 않네.(1t)
24,팀단톡,2.00,,23:44,아트님,"unCheck_num = 2<br>음, 그니까 이게 UI 컬러를 말씀하시는거죠?"
25,팀단톡,1.00,,23:44,팀장님,"unCheck_num = 2<br>네네, 맞습니다."
26,팀단톡,2.00,,23:44,아트님,"unCheck_num = 2<br>그런데 저희가 현실과 시스템을 플레이어가 나눠서 느낄 수 있고, 그래서 더욱 몰입감이 있도록 색감을 나눠서 사용하기로 했잖아요."
27,팀단톡,0.00,,,입장,1
28,팀단톡,3.00,,23:44,아트님,unCheck_num = 1<br>그러면 저희 인게임 컬러는 어떻게 되나요?
29,팀단톡,2.00,,23:45,팀장님,unCheck_num = 1<br>인게임은 그냥 일반적인 전통 판타지 느낌으로 하시면 됩니다!
30,팀단톡,2.00,,,독백,하…진짜...(1t)
31,팀단톡,1.00,,23:45,아트님,unCheck_num = 1<br>그런데 전통 판타지 장르도 다양하잖아요?
32,팀단톡,1.00,,23:45,아트님,unCheck_num = 1<br>그래서 어떤 컬러감으로 갈지를 선택해주셔야 해요.. 저희 게임 같은 경우에는 개그물도 섞여 있기 때문에 다크 판타지처럼 어두운 느낌으로 가면 안 되잖아요.
33,팀단톡,3.00,,23:46,팀장님,unCheck_num = 1<br>그렇기는 한데 그거는 다크 판타지잖아요.
,팀단톡,1.00,,,선택지,…
,팀단톡,,,,선택지,"아니, 제정신이세요?"
34,팀단톡,3.00,,23:50,팀장님,unCheck_num = 1<br>아트님?
35,팀단톡,1.00,,23:51,팀장님,unCheck_num = 1<br>주무시나요?
36,팀단톡,1.00,,,독백,머리가 띵하다.(1t)
37,팀단톡,1.00,,,독백,팀장님 저는...(1t)
38,팀단톡,1.00,,,독백,팀장님 이거는...(1t)
39,팀단톡,1.00,,,독백,이게 그러니까…(1t)
40,팀단톡,2.00,,23:48,아트님,"unCheck_num =1<br>아니, 제정신이세요?"
41,팀단톡,2.00,,23:48,아트님,"unCheck_num =1<br>지금 장난치지 마시고, 제대로 해주세요"
42,팀단톡,1.00,,23:48,아트님,"unCheck_num = 1<br>전통판타지인지, 다크판타지인지가 중요한게 아니잖아요?"
43,팀단톡,1.00,,23:49,아트님,unCheck_num = 1<br>전통판타지 중에서도 종류가 많고 스토리에 따라 색감이 달라지니까 그부분을 명확하게 해달라고 하는 거잖아요.
44,팀단톡,3.00,,23:55,팀장님,unCheck_num = 1<br>네
45,팀단톡,2.00,,23:57,팀장님,unCheck_num = 1<br>그러면 밝은 느낌으로 해주세요.
46,팀단톡,0.00,,,독백,하… 또 이러네… 하… 이걸 어떻게 해야 하지..(1t)
47,팀단톡,2.00,,,시스템,2021년 3월 13일 금요일
,팀단톡,,,,퇴장,2
48,팀단톡,1.00,2021.03.13,0:01,아트님,unCheck_num = 3<br>...그냥 제가 알아서 할게요.
49,팀단톡,2.00,,,독백,왜 안 읽지..(1t)
50,팀단톡,2.00,,,독백,진짜 그냥 내가 알아서 해야 되나?(1t)
51,팀단톡,3.00,,,입장,1
52,팀단톡,3.00,,0:23,팀장님,unCheck_num = 3<br>안돼요. 그러면 기획과 달라질 수 있잖아요.
54,팀단톡,2.00,,0:25,아트님,unCheck_num = 2<br>그러면 저번처럼 예시자료 부탁드릴게요.
55,팀단톡,1.00,,0:25,팀장님,"unCheck_num = 2<br>네, 알겠습니다."
56,팀단톡,,,,입장,2
,팀단톡,,,,퇴장,3
57,팀단톡,3.00,,,시스템,2021년 3월 14일 토요일
58,팀단톡,5.00,,,독백,왜 하루 종일 연락이 없지… 저번에도 시간이 좀 걸렸으니까 좀만 기다려보자 (2t)
59,팀단톡,3.00,,,시스템,2021년 3월 15일 일요일
60,팀단톡,3.00,,,독백,아니 이게 그렇게 오래 걸릴 일인가.. (1t)
61,팀단톡,3.00,2021.03.15,19:15,팀장님,unCheck_num = 2<br>[컨셉 레퍼런스 목록]<br>1. 놀러와라. 동물원<br>2. 성직자 리퀘스트<br>3. 왕자님 키우기
63,팀단톡,1.00,,19:17,팀장님,"unCheck_num = 2<br>아트님, 앞으로 프로젝트를 진행함에 있어서 저희가 좀더 잘 소통하고 진행하기 위해서 말씀드릴 필요가 있다고 생각해서 이런 말씀드립니다."
64,팀단톡,3.00,,19:17,팀장님,"unCheck_num = 2<br>사실 그저께 말씀하신 부분은 조금 기분이 상했습니다. 제가 능력이 많이 부족한 부분 이해하고 있습니다. 제가 팀장인 것을 차치하더라도, 그래도 기획은 제 파트이고 제가 감안해서 설계한 부분들이 있기 때문에 무시하시는 것은 조금 불편합니다. 그리고 저도 전통판타지와 다크판타지의 차이 정도는 알고 있습니다."
65,팀단톡,3.00,,19:17,팀장님,unCheck_num = 2<br>다음부터는 정확하게 레퍼런스도 같이 드려서 그저께와 같은 일은 만들지 않겠습니다. 하지만 만약 다음번에도 그저께처럼 감정적으로 말씀하신다면 저도 똑같이 할 겁니다.
66,팀단톡,3.00,,,입장,1
67,팀단톡,3.00,,,입장,1
68,팀단톡,4.00,,,독백,…미치겠다. 레퍼런스 저따구로 해온 거 보니까... 저 내용 쓰는데 2일이나 걸리셨나보네 (2t)
,팀단톡,2.00,,,선택지,기분이 상하셨다면 죄송합니다. 저도 앞으로 말할 때 더 주의해서 말하도록 하겠습니다.
,팀단톡,,,,선택지,기분이 상하셨다면 죄송합니다. 그런데 그거와 별개로 레퍼런스를 저렇게 주시면 안 된다고 생각합니다.
69,팀단톡,2.00,,19:26,아트님,unCheck_num = 0<br>기분이 상하셨다면 죄송합니다. 저도 앞으로 말할 때 더 주의해서 말하도록 하겠습니다.
70,팀단톡,1.00,,19:27,팀장님,"unCheck_num = 0<br>네, 감사합니다."
71,팀단톡,2.00,,19:26,아트님,unCheck_num = 0<br>기분이 상하셨다면 죄송합니다. 그런데 그거와 별개로 레퍼런스를 저렇게 주시면 안 된다고 생각합니다.
72,팀단톡,2.00,,19:27,팀장님,unCheck_num = 0<br>어떤게 문제인가요?
73,팀단톡,2.00,,19:27,아트님,"unCheck_num = 0<br>1개는 저희랑 컨셉적으로도 안 맞고, 3개 전부 색감이 다릅니다."
74,팀단톡,2.00,,19:27,팀장님,unCheck_num = 0<br>그래도 느낌은 비슷하잖아요.
75,팀단톡,2.00,,,독백,ㅋㅋㅋ돌겠넼ㅋㅋㅋ(1t)
76,팀단톡,2.00,,19:27,아트님,unCheck_num = 0<br>아 그럼 느낌적 느낌으로 가겠습니다~
77,팀단톡,2.00,,19:28,팀장님,unCheck_num = 0<br>정확히 이해는 하셨나요?
78,팀단톡,2.00,,,독백,저따구로 줘놓고 무슨 이해를 해. 제정신인가?(1t)
79,팀단톡,2.00,,19:32,아트님,unCheck_num = 0<br>제가 생각을 해봤는데요..
80,팀단톡,2.00,,19:32,아트님,unCheck_num = 0<br>팀장님과 제가 너무 안 맞는 거 같고 제 이해능력이 팀장님을 충족시키지 못하는 것 같아서 이대로 진행을 하면 서로 힘들고 불편할 것 같습니다.
81,팀단톡,3.00,,19:32,아트님,"unCheck_num = 0<br>그래서 더 늦기 전에 팀을 나가려고 합니다. 짧은 시간이었지만 함께 해서 즐거웠고, 다음에 기회가 된다면 다시 즐겁게 개발할 수 있으면 좋겠습니다."
82,팀단톡,3.00,,,독백,더러웠고 다시는 만나지 말자.. (2t)
83,이채린,2.00,,19:32,이채린,unCheck_num = 0<br>아트님..
84,이채린,2.00,,19:32,이채린,unCheck_num = 0<br>괜찮으신가요..
85,이채린,2.00,,19:35,아트님,"unCheck_num = 0<br>아 이런 일도 있고, 저런 일도 있는 거죠."
86,이채린,2.00,,19:36,이채린,unCheck_num = 0<br>힘내세요…
87,이채린,2.00,,19:36,아트님,unCheck_num = 0<br>채린님도 힘내세요!
