index,chatroom,dt,date,time,character,text
,GameMasters,,,,시스템,2021년 11월 08일 월요일
,GameMasters,,2021.11.08,13:00,GameMasters,"unCheck_num = 0<br>[게임개발연합동아리 GameMasters! SNS참여 이벤트]<br>안녕하세요. 전국 게임개발연합동아리 GameMasters입니다.<br>벌써 2021년도 얼마 남지 않았는데요. 그동안 GameMasters의 활동을 지켜봐주신 여러분을 위한 이벤트를 준비했습니다!<br><br>자세한 사항은 GameMasters 홈페이지나 페이스북, 인스타그램을 참고해주세요!"
,이채린,,,,시스템,2021년 11월 08일 월요일
,이채린,,2021.11.08,10:06,이채린,unCheck_num = 0<br>시스템 애니메이션 다 만들었는데 언제 시간돼?
,이채린,,,10:06,아트님,"unCheck_num = 0<br>아 언니, 그거 제가 지금 직접 확인해볼게요."
,이채린,,,10:07,이채린,unCheck_num = 0<br>아 알겠어~ 혹시… 문제 있으면 말해주세요…
,이채린,,,10:07,아트님,"unCheck_num = 0<br>응, 언니 고생했어~"
,이채린,,,10:07,이채린,unCheck_num = 0<br>수고하세요ㅠㅠ
,이채린,,,10:08,아트님,unCheck_num = 0<br>언니도 파이팅!
,엄마,,,,시스템,2021년 11월 06일 토요일
,엄마,,2021.11.06,23:58,엄마,unCheck_num = 0<br>와서 애들 밥 좀 줘라
,엄마,,,23:59,아트님,unCheck_num = 0<br>엄마 밖이야?
,엄마,,,23:59,엄마,unCheck_num = 0<br>아니 집이지
,엄마,,,23:59,엄마,unCheck_num = 0<br>밥 안준다고 와서 나 깨운다.
,엄마,,,,시스템,2021년 11월 07일 일요일
,엄마,,2021.11.07,0:00,아트님,unCheck_num = 0<br>근데 왜 카톡으로 하는거얔ㅋㅋ
